"1624006317261348864 2023-02-10 11:24:13 +0000 <jess_sosnoski> @CHRISsW0RLD @The_Trump_Train @dan_mcnichols @Atheen_ @thandar324 @V_Hawtmess1 @SheriCarter18 @DanielKlatt @NavinJohnson @tooosunny @StevieaB @jess_sosnoski @xephula @finaltelegraph @americadefiant #trump #freespeech #socialmedia #video #patriot Trump/patriot-friendly free speech social media &amp; video sites... -  https://t.co/zqpIQuTkmA
",Text,Positive Emojis,Negative Emojis,Sentiment Score,Sentiment
"1623338091925889024 2023-02-08 15:08:55 +0000 <Please_StandBye> President Trump's Response to the State of the Union  https://t.co/JEftJZghCT
",pleasestandbye president trumps response to the state of the union,0,0,0.0,neutral
"1622922039030870017 2023-02-07 11:35:41 +0000 <LasyZamknij> @st_feu Znów na oddziale nie podają leków ? A Donald Tusk to polski patriota z dziada i pradziada legionisty ?
",lasyzamknij znów na oddziale nie podają leków a donald tusk to polski patriota z dziada i pradziada legionisty,0,0,0.0,neutral
"1623368009266958340 2023-02-08 17:07:48 +0000 <tc88884> @emrecolako Trump is ex-president, not nft
",tc trump is expresident not nft,0,0,0.0,neutral
"1623404510008819714 2023-02-08 19:32:51 +0000 <mtsand3> @MGoBlue_Gage @DC_Draino Just like Trump
",mtsand just like trump,0,0,0.3612,positive
"1623718209336606721 2023-02-09 16:19:22 +0000 <flight_risk_> @MvpPurdy @goblin319 @NickAdamsinUSA And something to do with trump? Trump is very effeminate with those soft little pudgy hands. Men drive, Trump rides.
",flightrisk and something to do with trump trump is very effeminate with those soft little pudgy hands men drive trump rides,0,0,0.0,neutral
"1623350095088345089 2023-02-08 15:56:37 +0000 <Horst41396416> @ZDFheute Jetzt beginnen die Untersuchungen durch das Repräsentantenhaus gegen BIDEN  und seinen Sohn Hunter.  Seit BIDEN im Amt ist erleben wir wieder nur weltweiten TERROR . Wird Zeit für den neuen  FRIEDENSPRÄSIDENTEN TRUMP.
",horst jetzt beginnen die untersuchungen durch das repräsentantenhaus gegen biden und seinen sohn hunter seit biden im amt ist erleben wir wieder nur weltweiten terror wird zeit für den neuen friedenspräsidenten trump,0,0,-0.8074,negative
"1623637176524177411 2023-02-09 10:57:23 +0000 <RelaxFactsRFun> @5dme81 .  ""Mexico is paying for the wall."" - D.Trump 6/16/15   ""Mexico is paying for the wall."" - D.Trump 1/6/17  ""Mexico is paying for the wall."" - D.Trump 1/2/19   Pentagon shifts money from overseas projects to fill hole caused by border wall funding   https://t.co/r4BtzUaDGc
",relaxfactsrfun mexico is paying for the wall dtrump mexico is paying for the wall dtrump mexico is paying for the wall dtrump pentagon shifts money from overseas projects to fill hole caused by border wall funding,0,0,0.0,neutral
"1623297216872951809 2023-02-08 12:26:30 +0000 <AnarchistMary> @NEWSMAX Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
"1622954431947079687 2023-02-07 13:44:24 +0000 <normaIslove9> Donald Amelia Blithe Dolly #偏门 #跑分  https://t.co/Z0w4NWtL7B
",normaislove donald amelia blithe dolly 偏门 跑分,0,0,0.296,positive
"1623341459138048005 2023-02-08 15:22:18 +0000 <Ebitz31185> @RepMTG U. S. Representatives who requested a Pardon from disgraced former president Donald Trump.  👉 Marjorie Taylor Greene 👉 Andy Biggs 👉 Paul Gosart 👉 Scott Perry 👉 Lauren Boebert 👉 Louie Gohmert 👉 Matt Gaetz 👉 Jim Jordan 👉 Mo Brooks
",ebitz u s representatives who requested a pardon from disgraced former president donald trump 👉 marjorie taylor greene 👉 andy biggs 👉 paul gosart 👉 scott perry 👉 lauren boebert 👉 louie gohmert 👉 matt gaetz 👉 jim jordan 👉 mo brooks,0,0,-0.1779,negative
"1622995713457274883 2023-02-07 16:28:26 +0000 <Thalas14> @AngelRe96386095 Nothing!Where's the beef? Donald is running for president and laughing all the way to the bank.
",thalas nothingwheres the beef donald is running for president and laughing all the way to the bank,0,0,0.4939,positive
"1622961891927547906 2023-02-07 14:14:02 +0000 <WeAreTLS> We have been watching Atlanta series, just so that we can see some TLS rehoused Kowa Cine Prominar lenses in action!  Christian Sprenger, talks about the production  https://t.co/eke35F48JY   Director: @donaldglover Cinematographer: @casprenger rental house: @keslowcamera #kowa  https://t.co/53P8lJzRKW
",wearetls we have been watching atlanta series just so that we can see some tls rehoused kowa cine prominar lenses in action christian sprenger talks about the production director cinematographer rental house kowa,0,0,0.0,neutral
"1623311637812764672 2023-02-08 13:23:48 +0000 <blue_ventilator> @KatiePhang 6 months since the FBI raid on Mar A Lago  At least a week since Trump’s lawyers expected him to be indicted for stealing thousands of documents, hundreds of which are classified nuclear, tech &amp; human secrets  Dozens of classified materials still missing  #WherAreTheIndictments?
",blueventilator months since the fbi raid on mar a lago at least a week since trump’s lawyers expected him to be indicted for stealing thousands of documents hundreds of which are classified nuclear tech amp human secrets dozens of classified materials still missing wheraretheindictments,0,0,-0.7096,negative
"1623684274766356486 2023-02-09 14:04:32 +0000 <dtlinvero> Trump Put Nearly $1 Million Of Donor Money Into His Own Pockets Since Leaving Office  https://t.co/c5g6UFEgrf via @Yahoo
",dtlinvero trump put nearly million of donor money into his own pockets since leaving office via,0,0,0.0,neutral
"1623327568165478400 2023-02-08 14:27:06 +0000 <MistahJ43119923> @DJT2024Hive DeSantis supporters can’t explain why the Governor who has waged war on all the special interest minorities, will somehow have a greater appeal to the McCain-Romney suburbanites that Trump lost. Florida isn’t the nation, even though it should be.
",mistahj desantis supporters can’t explain why the governor who has waged war on all the special interest minorities will somehow have a greater appeal to the mccainromney suburbanites that trump lost florida isn’t the nation even though it should be,0,0,0.5994,positive
"1623288273299808256 2023-02-08 11:50:58 +0000 <AIPChristina> @Michell93862884 @MsMichele8 @shaft_az @CalltoActivism Sorry, they're all devout Christians, just ask them, Christians turn the other cheek. Also, I'd like to point out, no one heckled trump.
",aipchristina sorry theyre all devout christians just ask them christians turn the other cheek also id like to point out no one heckled trump,0,0,0.0,neutral
"1623326211677032449 2023-02-08 14:21:43 +0000 <Richscully5> Trump Unleashes After Catching Biden's Embarrassing SOTU Mistake: 'Can't Do That!' via @WestJournalism  https://t.co/XzS8WnxbA3
",richscully trump unleashes after catching bidens embarrassing sotu mistake cant do that via,0,0,-0.6124,negative
